K;id;nElements;centroidLat;centroidLon
2;1;406;39.674684166991675;15.056611845992485
2;2;328;42.96823546641792;10.447000418085533
3;1;173;37.745488705891056;14.3704256316702
3;2;304;43.012305371081354;10.219788130620563
3;3;257;41.24158045585696;15.338878245873547
4;1;173;37.745488705891056;14.3704256316702
4;2;173;44.867029657440504;10.462967760226919
4;3;291;41.354328950166504;15.014162337203583
4;4;97;39.98681602812694;8.965903487140748
5;1;164;37.68412194922371;14.25901293830991
5;2;160;42.22780457892964;13.433945333591733
5;3;159;40.58914134785599;16.38457337983735
5;4;97;39.98681602812694;8.965903487140748
5;5;154;45.03738438145635;10.209362040732486
6;1;162;37.67416297630241;14.23517711227186
6;2;87;44.58726053145565;11.687976864317651
6;3;140;40.47692669241052;16.603373445313352
6;4;97;39.98681602812694;8.965903487140748
6;5;82;45.25202883054197;9.060127448512732
6;6;166;41.96586284286304;13.704475207342494
7;1;162;37.67416297630241;14.23517711227186
7;2;73;43.50010355947097;11.956899461397219
7;3;124;40.366735060529386;16.767406403611236
7;4;97;39.98681602812694;8.965903487140748
7;5;82;45.25202883054197;9.060127448512732
7;6;158;41.770582353706395;14.009507548560444
7;7;38;45.56473462780906;11.861971225158364
